"ids","boat_HR","boat_sdnn","dungeon_HR","dungeon_sdnn"
1216,101.26582,4.6812911278432,93.119822,6.03481315727063
1843,105.392471,3.66351769973309,113.617405,7.07784078548883
1994,77.962852,6.85059655658453,74.448588,10.1452067546822
2168,84.220179,10.6199312160361,79.550286,8.77127766895765
2200,62.798306,8.22013988918132,69.022173,6.95594403496344
2368,73.733513,5.91040153101536,73.393655,10.0162509281305
3167,84.986681,11.9651239525216,106.003655,9.22852205000355
3610,80.655414,7.49880235118017,78.860398,8.89614809067827
4009,91.875072,8.09908006774323,85.563004,7.49937505583638
4470,74.03924,4.55037224763245,72.982269,6.0842487787967
4793,87.804684,7.06328915343044,94.40605,15.030685279251
4862,69.336715,6.12222920500648,66.270084,8.6804557797654
4977,68.40721,8.05145464756676,68.99304,7.87245887494745
5103,109.460576,8.99255407292379,113.648094,8.69543465165127
5375,111.81625,4.01593017461413,121.479442,5.49203749867804
5568,68.434959,7.27189253421912,68.722176,6.14176382772285
5575,71.254112,6.33568931136487,79.831837,14.0794326946851
6298,92.295996,2.64504485935497,95.406063,17.1576000513783
6345,77.831866,7.94096238590765,93.057618,16.0233680601968
6566,89.467133,28.014794916539,90.451939,12.1689763558458
6708,72.203237,16.529464131566,91.756328,16.7522779849886
6837,78.031079,11.9525076609461,82.332942,12.8948934665955
7412,86.689415,9.83469799885073,86.287862,9.60136955577003
7503,74.707177,6.05411173417044,79.932107,7.77708112437427
7565,80.560778,3.69350800427751,97.299029,6.86750391371842
9254,75.866271,6.56264382473543,73.80077,8.40542969252088
9973,92.943063,8.18225569756206,97.610038,13.0955458987172
