"ids","baselineBreathTrain","dungeonBreathTrain"
"1321",15.0916516839749,5.51540472236831
"1881",20.1213610261257,6.30340245845828
"2239",19.2350354629937,5.51522456402232
"2304",13.3913143934844,7.18967444563178
"2311",14.1761191931296,11.2277863417919
"2599",12.0059525512749,5.61385778496147
"3176",9.20346894083495,4.9245004320018
"3511",15.8138304684169,4.82591496639341
"4335",11.8255534319927,4.72745794573239
"4486",11.8170409608683,3.7426946048532
"4592",16.3977103330472,17.6287829373866
"5438",13.111280553443,11.2276389014051
"5720",12.151437993204,4.62909233512593
"5822",8.38483072324422,3.54549975952976
"6001",14.4002344358166,3.84113555785969
"6429",10.6915190466554,4.43202092439153
"6782",7.20434133608913,3.25010653126964
"6924",15.1412304244643,7.7806078690179
"7174",7.63510332921883,3.15147231616227
"7653",8.00746798618386,3.15157727578842
"7910",19.8505631914328,9.1592071107488
"8378",8.9937778047221,4.23498660316157
"8803",12.0049432354596,5.21990199584758
"8823",6.64213560493476,4.33361906766125
"8869",16.4371902387278,5.71253443320414
"9114",11.826452620792,4.53060138070077
"9361",21.0517942014636,5.22010918695552
"9942",11.8726323003035,4.72758443744864
